ARTICULO;NOMBRE
108861;Tubos Distanciador  PVC TEIDE  26-30mm muro 1 cara L=2m
900008;Abono por error interno
101361;"Arriostrador UNO97 ; L=4,00 m ; Ral 7043"
101371;"Arriostrador UNO97 ; L=2,00 m ; Ral 7043"
101411;"Apeo UNO97 c/Tapa ; L=197 cm ; Ral 4006"
113232;Pilar Circular INDE-K Ø40x300cm
113241;Pilar Circular INDE-K Ø30x300cm
113242;Pilar Circular INDE-K Ø30x300cm
106501;Chapa Compensación TEIDE 100x40cm
104171;"Chapa Pilar INDE-K 300x50cm ; Amarillo"
106502;Chapa Compensación TEIDE 100x40cm
106511;BARRA DYWIDAG 1.00M INDE-K 20MM
106512;BARRA DYWIDAG 1.00M INDE-K 20MM
104182;CHAPA PILAR 1,50 X 0,60
101471;"Apeo QBETA2 ; L=80 cm ; Blanco"
104191;CHAPA PILAR 1,50 X 0,70
104192;CHAPA PILAR 1,50 X 0,70
104251;CHAPA PILAR 1,50 X 0,80
104252;CHAPA PILAR 1,50 X 0,80
106792;"CIERRE HEMBRA ""INDE-K"""
106652;Anclaje Escuadra TEIDE Ø15mm
106793;"CIERRE HEMBRA ""INDE-K"" A REPARAR"
106661;"Alineador TEIDE I80 ; L=3,00m"
106662;"Alineador TEIDE I80 ; L=3,00m"
106671;"Alineador TEIDE I80 ; L=1,00m"
106801;BARRA DYWIDAG DW 20/23 0,33M
106802;BARRA DYWIDAG DW 20/23 0,33M
106803;BARRA DYWIDAG DW 20/23 0,33M A REPARAR
113252;Pilar Circular INDE-K Ø40x100cm
113251;Pilar Circular INDE-K Ø40x100cm
109352;Mordaza Rigidizadora TEIDE
101461;"Arriostrador QBETA2 ; L=4,00 m ; Blanco"
102082;"Tablero Tricapa VERSATEC 97x50cm ; Amarillo (1ª)"
103291;"Contenedor Cubetas INDE-K ; 6 FILAS"
103301;"Contenedor Cubetas INDE-K ; 3 FILAS"
113271;Pilar Circular Mixto INDE-K Ø40x300x30cm
113272;Pilar Circular Mixto INDE-K Ø40x350x30cm
109362;Cabezal Abatible Trepa Interior TEIDE UP Rojo
109281;BRIDA FIJACION PANEL
111131;Cubeta VERSATEC 84x78,5x30cm
113273;Pilar Circular Mixto INDE-K Ø40x350x30cm (Reparar)
101611;"Suplemento Arriostrador UNO97 ; Ral 7012"
106541;Tuerca Placa TEIDE Ø20mm
113261;Pilar Circular INDE-K Ø50x50cm
113262;Pilar Circular INDE-K Ø50x50cm
106591;Panel Esquina Bisagra TEIDE 100x35x35cm
113263;Pilar Circular INDE-K Ø50x50cm (Reparar)
102471;"Tablero Fenólico  VERSATEC 80x74cm ;(1ª)"
101621;"Suplemento Arriostrador UNO97 ; Ral 7043"
106521;"Barra Roscada TEIDE Ø15mm ; L=3,00m"
101631;"Sopanda UNO ; L=4,00m ; Naranja"
102291;TABLERO FENOLICO 2,98 X 0,48 INDE-K
101632;"Sopanda UNO ; L=4,00m ; Naranja"
101462;"Arriostrador QBETA2 ; L=4,00 m ; Blanco"
101472;"Apeo QBETA2 ; L=80 cm ; Blanco"
113151;Pilar Circular INDE-K Ø70x400cm
101633;"Sopanda UNO ; L=4,00m ; Naranja (Reparar)"
101641;"Sopanda UNO ; L=3,00m ; Naranja"
